Lat + Long,Total Emissions
"38.201929, -104.57088",10857.63
"38.201929, -104.57088",6666.88
"38.201929, -104.57088",8117.35
"38.201929, -104.57088",91.6
"38.201929, -104.57088",703.35
"38.201929, -104.57088",67.24
"38.201929, -104.57088",95.31
"38.201929, -104.57088",60.6055
"38.201929, -104.57088",521.16
"38.201929, -104.57088",76.93
"38.201929, -104.57088",67.43
"38.201929, -104.57088",0.5657
"38.201929, -104.57088",35.243
"40.487122, -107.185669",11000
"40.487122, -107.185669",24000
"40.487122, -107.185669",980
"40.487122, -107.185669",5100
"40.487122, -107.185669",33.9
"40.487122, -107.185669",163
"40.487122, -107.185669",2.083
"40.487122, -107.185669",0.5031
"40.487122, -107.185669",19.481
"40.487122, -107.185669",311.2
"40.487122, -107.185669",1.1566
"40.220084, -103.678999",3200
"40.220084, -103.678999",8600
"40.220084, -103.678999",33.9
"40.220084, -103.678999",5200
"40.220084, -103.678999",1.523
"40.220084, -103.678999",29.44
"40.220084, -103.678999",9.334
"40.220084, -103.678999",220.34
"40.220084, -103.678999",18.54
"40.220084, -103.678999",0.3669
"40.220084, -103.678999",19.4032
"40.220084, -103.678999",24.83
"40.220084, -103.678999",115
"38.78817, -104.8007",648
"39.811318, -105.019609",1
"40.86004, -105.02691",86.3
"40.86004, -105.02691",882.8
"40.86004, -105.02691",164.5
"40.86004, -105.02691",114.3
"40.86004, -105.02691",26.6
"40.86004, -105.02691",966
"40.86004, -105.02691",20.1
"40.86004, -105.02691",26.4
"40.86004, -105.02691",2.9
"40.86004, -105.02691",0.37
"40.86004, -105.02691",13.705
"39.78741, -105.11613",27.96
"39.7667, -105.1949",1401
"39.7667, -105.1949",1700
"39.7667, -105.1949",24300
"39.7667, -105.1949",0.07
"39.7667, -105.1949",36500
"40.069502, -104.734884",1600
"40.069502, -104.734884",5
"40.117556, -104.387444",100
"40.117556, -104.387444",28.6
"40.117556, -104.387444",985
"40.117556, -104.387444",741.8
"40.117556, -104.387444",2700
"40.117556, -104.387444",705
"40.117556, -104.387444",168
"39.89144, -104.86917",38
"39.89144, -104.86917",2646
"39.89144, -104.86917",5
"39.95508, -104.98191",11
"39.95508, -104.98191",1
"38.77602, -104.73879",0.043
"38.77602, -104.73879",10
"38.77602, -104.73879",255
"38.77602, -104.73879",0.81489
"40.94713, -108.31021",1250
"40.94713, -108.31021",1040
"40.94713, -108.31021",1120
"39.79829, -105.05915",0.205
"40.014029, -104.818395",0.2177
"38.873896, -104.675123",0.1542
"39.36719, -104.85164",0.3479
"40.16062, -104.9994",0.0221
"40.397422, -104.939255",0.0713
"38.778687, -104.770264",0.1213
"39.75298, -104.73482",0.1259
"39.73461, -105.00778",0.2244
"39.9787, -105.07378",0.4158
"39.50107, -105.01788",0.1724
"40.0293, -105.21384",0.01
"39.75527, -104.809952",0.2238
"40.6375, -103.190556",1137
"40.6375, -103.190556",4826
"40.6375, -103.190556",211
"39.80488, -104.94298",368
"39.80488, -104.94298",2137
"39.80488, -104.94298",5274
"39.80488, -104.94298",9029
"39.80488, -104.94298",22735
"39.80488, -104.94298",4579.9
"39.80488, -104.94298",2
"39.80488, -104.94298",543
"39.80488, -104.94298",5392
"39.80488, -104.94298",102
"39.80488, -104.94298",5330
"39.80488, -104.94298",151.24
"39.80488, -104.94298",476
"39.80488, -104.94298",643
"39.80488, -104.94298",23605
"39.80488, -104.94298",66
"39.80488, -104.94298",38
"39.80488, -104.94298",20.35
"39.80488, -104.94298",3.97
"39.80488, -104.94298",7.0003
"39.80488, -104.94298",131
"39.80488, -104.94298",78
"39.80488, -104.94298",5115
"39.80488, -104.94298",914
"39.80488, -104.94298",0.073953
"39.80488, -104.94298",0.1275
"39.80488, -104.94298",494
"39.80488, -104.94298",27
"40.44278, -104.69233",3534
"39.73445, -105.12697",1352
"39.78493, -104.92701",14
"39.78493, -104.92701",877
"39.08733, -108.604156",965
"39.08733, -108.604156",10
"39.08733, -108.604156",4949
"39.08733, -108.604156",5046
"39.08733, -108.604156",3255
"38.28159, -104.51741",16.78
"38.28159, -104.51741",10
"40.416944, -107.545556",92
"40.416944, -107.545556",2
"40.416944, -107.545556",6
"40.416944, -107.545556",76
"40.416944, -107.545556",0.03
"40.416944, -107.545556",10
"40.416944, -107.545556",14
"40.4627, -107.5912",14440
"40.4627, -107.5912",11578
"40.4627, -107.5912",4790
"40.4627, -107.5912",36054
"40.4627, -107.5912",1305
"40.4627, -107.5912",255
"40.4627, -107.5912",11257
"40.4627, -107.5912",29.73
"40.4627, -107.5912",1078
"40.4627, -107.5912",0.548
"40.4627, -107.5912",113.43
"40.4627, -107.5912",255
"40.4627, -107.5912",5899
"40.4627, -107.5912",4021
"39.722215, -104.77239",12
"39.722215, -104.77239",4
"39.56857, -105.00366",0.3
"39.56857, -105.00366",1.2
"39.79824, -104.99043",5049
"39.79824, -104.99043",1000
"39.79824, -104.99043",500
"38.753333, -104.765556",995.6
"39.713634, -104.997567",0.16185
"39.713634, -104.997567",0.00078
"39.80909, -104.99077",0.6
"39.87075, -104.88168",41.19
"39.87075, -104.88168",27.56
"39.87075, -104.88168",358.12
"39.87075, -104.88168",699.66
"39.747503, -104.678331",274
"39.747503, -104.678331",503
"39.747503, -104.678331",2379
"39.747503, -104.678331",92
"39.747503, -104.678331",28
"38.879969, -104.67775",1
"40.02949, -104.81151",1821
"40.02949, -104.81151",1.700129
"40.02949, -104.81151",112.088
"40.02949, -104.81151",195
"39.86101, -104.8843",559
"40.16028, -105.09309",2.24
"40.16028, -105.09309",4.12
"40.26269, -103.80612",19922.72
"40.26269, -103.80612",2980
"39.83963, -108.241034",2230
"39.83963, -108.241034",1790
"40.13, -102.68",2003
"40.13, -102.68",541
"40.13, -102.68",13481
"39.80285, -104.9852",32
"39.80285, -104.9852",20
